Request Allowed Wait Time Used(%),Car flexibility (param.),Req. flexibility (param.),reqWaitTime,reqDis,Requests Flexibility Used
2.14778,1.1,1.3,129581,6033253,0.0214778
3.3046982,1.1,1.4,204613,6191579,0.033046982
4.2719388,1.1,1.5,269287,6303625,0.042719388
4.918268,1.1,1.6,314026,6384890,0.04918268
6.4995531,1.1,1.7,417890,6429519,0.064995531
6.9589088,1.1,1.8,451059,6481749,0.069589088
7.7853536,1.1,1.9,508817,6535567,0.077853536
8.8043986,1.1,2,579446,6581324,0.088043986
9.673625,1.1,2.1,641063,6626916,0.09673625
10.557781,1.1,2.2,704225,6670199,0.10557781
11.4927247,1.1,2.3,755868,6576926,0.114927247
12.1667575,1.1,2.4,802417,6595159,0.121667575
13.2101191,1.1,2.5,874512,6620016,0.132101191
13.3246536,1.1,2.6,885987,6649231,0.133246536
13.842053,1.1,2.7,921694,6658651,0.13842053
14.292095,1.1,2.8,959958,6716706,0.14292095
15.1013303,1.1,2.9,998908,6614702,0.151013303
15.687179,1.1,3,1046100,6668503,0.15687179
0.1624999,1.2,1.1,11145,6858465,0.001624999
0.7555972,1.2,1.2,53896,7132901,0.007555972
1.4929342,1.2,1.3,108740,7283643,0.014929342
2.3410621,1.2,1.4,173349,7404716,0.023410621
3.010857,1.2,1.5,226936,7537256,0.03010857
3.740717,1.2,1.6,281074,7513907,0.03740717
4.3476654,1.2,1.7,329426,7577078,0.043476654
5.1815055,1.2,1.8,392415,7573378,0.051815055
5.804109,1.2,1.9,448202,7722150,0.05804109
6.380789,1.2,2,490656,7689582,0.06380789
7.29518,1.2,2.1,563487,7724100,0.0729518
8.222499,1.2,2.2,637473,7752789,0.08222499
8.3211387,1.2,2.3,644090,7740407,0.083211387
8.8767611,1.2,2.4,688250,7753391,0.088767611
9.4516982,1.2,2.5,724317,7663353,0.094516982
9.5397292,1.2,2.6,737408,7729863,0.095397292
9.9907552,1.2,2.7,777876,7785958,0.099907552
10.7034697,1.2,2.8,826523,7722010,0.107034697
10.9067295,1.2,2.9,858766,7873726,0.109067295
10.8568722,1.2,3,845395,7786727,0.108568722
0.1245132,1.3,1.1,9431,7574298,0.001245132
0.5939369,1.3,1.2,46196,7777931,0.005939369
1.1974372,1.3,1.3,95300,7958664,0.011974372
1.9925307,1.3,1.4,162091,8134931,0.019925307
2.4162446,1.3,1.5,196850,8146940,0.024162446
