 Car allowed wait time used(%),Car flexibility(param.),Request Flexibility (param.),CarWaitTime,carDis, Car delay allowance used(%)
27.5278044,1.5,3,5431001,19729147,0.275278044
5.3926625,1.1,1.1,466617,8652813,0.053926625
5.0667216,1.1,1.2,464955,9176644,0.050667216
4.9102008,1.1,1.3,462681,9422853,0.049102008
4.7567773,1.1,1.4,457183,9611192,0.047567773
4.6001618,1.1,1.5,453928,9867653,0.046001618
4.6729937,1.1,1.6,471556,10091090,0.046729937
4.4934632,1.1,1.7,459215,10219623,0.044934632
4.5102513,1.1,1.8,466067,10333504,0.045102513
4.3809212,1.1,1.9,462347,10553648,0.043809212
4.3776371,1.1,2,461321,10538128,0.043776371
4.3306105,1.1,2.1,462199,10672837,0.043306105
4.2094017,1.1,2.2,454060,10786806,0.042094017
4.2901052,1.1,2.3,465543,10851552,0.042901052
4.177493,1.1,2.4,457330,10947475,0.04177493
4.1476062,1.1,2.5,455895,10991762,0.041476062
4.1506965,1.1,2.6,457018,11010634,0.041506965
4.1112977,1.1,2.7,453919,11040772,0.041112977
4.0870398,1.1,2.8,456018,11157660,0.040870398
4.0552061,1.1,2.9,448594,11062175,0.040552061
4.1400637,1.1,3,463241,11189224,0.041400637
11.1530347,1.2,1.1,1130608,10137223,0.111530347
11.0376593,1.2,1.2,1149037,10410151,0.110376593
10.9548934,1.2,1.3,1175558,10730894,0.109548934
10.4803814,1.2,1.4,1145013,10925299,0.104803814
10.4603736,1.2,1.5,1168114,11167039,0.104603736
10.4704139,1.2,1.6,1180956,11278981,0.104704139
10.2555229,1.2,1.7,1168479,11393656,0.102555229
10.1696468,1.2,1.8,1173383,11538090,0.101696468
10.1800143,1.2,1.9,1186528,11655465,0.101800143
9.962297,1.2,2,1180425,11848924,0.09962297
9.8805367,1.2,2.1,1171050,11852089,0.098805367
9.7616169,1.2,2.2,1174626,12033109,0.097616169
9.8320776,1.2,2.3,1177110,11972139,0.098320776
9.5855599,1.2,2.4,1160476,12106502,0.095855599
9.6336672,1.2,2.5,1165772,12101020,0.096336672
9.7838134,1.2,2.6,1194591,12209871,0.097838134
9.6470877,1.2,2.7,1170876,12137093,0.096470877
9.4689861,1.2,2.8,1161495,12266308,0.094689861
9.4183751,1.2,2.9,1158119,12296378,0.094183751
9.4507437,1.2,3,1160827,12282917,0.094507437
17.3705282,1.3,1.1,1887138,10864022,0.173705282
17.2691414,1.3,1.2,1933986,11199086,0.172691414
16.9277901,1.3,1.3,1944868,11489202,0.169277901
16.3737287,1.3,1.4,1920855,11731323,0.163737287
16.6726943,1.3,1.5,1959729,11754123,0.166726943
16.2889008,1.3,1.6,1970389,12096513,0.162889008
16.1907418,1.3,1.7,1952625,12060133,0.161907418
15.8292286,1.3,1.8,1945523,12290700,0.158292286
15.739377,1.3,1.9,1947984,12376500,0.15739377
15.5636472,1.3,2,1927062,12381815,0.155636472
15.6127247,1.3,2.1,1951271,12497953,0.156127247
15.6560829,1.3,2.2,1978013,12634150,0.156560829
15.598725,1.3,2.3,1986385,12734278,0.15598725
15.3857815,1.3,2.4,1974972,12836345,0.153857815
15.555559,1.3,2.5,1996542,12834910,0.15555559
15.4644205,1.3,2.6,1978065,12791071,0.154644205
15.3577347,1.3,2.7,1975218,12861389,0.153577347
15.3422698,1.3,2.8,1972281,12855210,0.153422698
15.3560426,1.3,2.9,1988928,12952087,0.153560426
15.1690145,1.3,3,1961648,12931941,0.151690145
22.9578664,1.4,1.1,2605612,11349539,0.229578664
23.0226341,1.4,1.2,2663617,11569558,0.230226341
22.7638726,1.4,1.3,2684350,11792150,0.227638726
22.7112274,1.4,1.4,2770849,12200349,0.227112274
22.5201388,1.4,1.5,2780748,12347828,0.225201388
22.2514369,1.4,1.6,2761163,12408920,0.222514369
21.9663172,1.4,1.7,2753790,12536421,0.219663172
21.9360582,1.4,1.8,2806027,12791847,0.219360582
22.0418979,1.4,1.9,2820023,12793921,0.220418979
21.5596341,1.4,2,2778970,12889690,0.215596341
21.696621,1.4,2.1,2814009,12969803,0.21696621
21.4183117,1.4,2.2,2828257,13204855,0.214183117
21.4859842,1.4,2.3,2827522,13159844,0.214859842
21.4169745,1.4,2.4,2825169,13191261,0.214169745
21.3494868,1.4,2.5,2837483,13290638,0.213494868
20.964687,1.4,2.6,2770249,13213882,0.20964687
21.0250906,1.4,2.7,2785244,13247239,0.210250906
21.0889286,1.4,2.8,2778665,13175942,0.210889286
21.2622412,1.4,2.9,2815415,13241384,0.212622412
21.3152219,1.4,3,2831286,13282930,0.213152219
29.2545554,1.5,1.1,3404106,11636157,0.292545554
28.9826074,1.5,1.2,3492592,12050648,0.289826074
28.555781,1.5,1.3,3489268,12219130,0.28555781
28.4880278,1.5,1.4,3575366,12550416,0.284880278
28.4283872,1.5,1.5,3581396,12597957,0.284283872
28.2084386,1.5,1.6,3640776,12906691,0.282084386
27.8006911,1.5,1.7,3602748,12959203,0.278006911
27.2634934,1.5,1.8,3550302,13022183,0.272634934
27.531499,1.5,1.9,3621878,13155397,0.27531499
27.6736874,1.5,2,3665469,13245322,0.276736874
27.3941715,1.5,2.1,3647057,13313259,0.273941715
27.2860811,1.5,2.2,3666088,13435744,0.272860811
27.28959,1.5,2.3,3672454,13457344,0.2728959
27.4093466,1.5,2.4,3699738,13498089,0.274093466
27.1750046,1.5,2.5,3683283,13553937,0.271750046
26.9007002,1.5,2.6,3649328,13565922,0.269007002
26.7688111,1.5,2.7,3632230,13568888,0.267688111
27.3320005,1.5,2.8,3700019,13537315,0.273320005
26.6750854,1.5,2.9,3611921,13540429,0.266750854
26.6966542,1.5,3,3634211,13612983,0.266966542
