Car flexibility (param.),Worst case CPU time(s),Max. number of car/s
1.4,0.072921539,371
1.4,0.073923083,361
1.4,0.064043981,363
1.4,0.068339842,368
1.4,0.067952313,363
1.4,0.068362619,368
1.4,0.069356144,368
1.4,0.062469804,358
1.4,0.066958789,357
1.4,0.063849254,350
1.4,0.067278629,357
1.4,0.068406248,368
1.4,0.062772,358
1.4,0.058721873,340
1.4,0.071317849,380
1.4,0.057124278,342
1.5,0.108280674,464
1.5,0.089597477,432
1.5,0.092420215,432
1.5,0.089520163,425
1.5,0.08752734,431
1.5,0.083517634,425
1.5,0.080852731,406
1.5,0.086261776,415
1.5,0.083110857,403
1.5,0.084236552,410
1.5,0.07352208,405
1.5,0.077537561,394
1.5,0.07528136,399
1.5,0.069704856,402
1.5,0.071499423,407
1.5,0.070911713,390
1.5,0.073858923,392
1.5,0.073717449,389
1.5,0.072040937,402
1.5,0.074788287,385
1.1,0.02686269,240
1.1,0.02871853,233
1.1,0.027587382,225
1.1,0.027066399,220
1.1,0.02573892,218
1.1,0.025011982,215
1.1,0.024499019,212
1.1,0.022962056,210
1.1,0.023770157,202
1.1,0.023765345,224
1.1,0.021868762,199
1.1,0.022205925,198
1.1,0.021591589,197
1.1,0.022702206,199
1.1,0.020843158,194
1.1,0.021405845,193
1.1,0.020367087,190
1.1,0.023859019,204
1.1,0.019817553,195
1.1,0.0189562,183
1.2,0.037571066,261
1.2,0.035755005,260
1.2,0.040359478,270
1.2,0.032976537,265
1.2,0.033322041,242
1.2,0.031122301,244
1.2,0.03084609,241
1.2,0.029298861,232
1.2,0.033894994,251
1.2,0.03071007,242
1.2,0.028490119,228
1.2,0.026240654,222
1.2,0.027516164,222
1.2,0.028961057,219
1.2,0.029544275,234
1.2,0.028149106,222
1.2,0.028720455,234
1.2,0.026193817,233
1.2,0.024554197,228
1.2,0.02639881,215
1.3,0.045272563,302
1.3,0.047818449,301
1.3,0.046643672,300
1.3,0.042588091,287
1.3,0.056542022,271
1.3,0.040460531,279
1.3,0.039489783,274
1.3,0.038397452,269
1.3,0.042721865,289
1.3,0.036019666,260
1.3,0.03915647,266
1.3,0.037219146,265
1.3,0.034945621,257
1.3,0.0395363,265
1.3,0.033325891,251
1.3,0.035635987,254
1.3,0.038246675,272
1.3,0.031573349,243
1.3,0.036809161,260
1.3,0.033192116,261
1.4,0.058351346,334
1.4,0.056878544,324
1.4,0.052067474,319
1.4,0.054569089,317
1.4,0.048002269,319
1.4,0.051544887,307
1.4,0.046457606,291
1.4,0.045494558,297
1.4,0.04923447,295
1.4,0.061767889,294
1.4,0.044681004,290
1.4,0.048073808,297
1.4,0.048609226,289
1.4,0.046687942,292
1.4,0.048879342,294
1.4,0.060911668,287
1.4,0.046598118,279
1.4,0.043665024,288
1.4,0.044141415,295
1.4,0.047252875,300
1.5,0.074384076,372
1.5,0.072713338,360
1.5,0.072340566,357
1.5,0.066062147,343
1.5,0.060239588,347
1.5,0.062542627,337
1.5,0.061173764,336
1.5,0.055289931,322
1.5,0.059385613,323
1.5,0.059477362,330
1.5,0.053910803,325
1.5,0.065388142,337
1.5,0.057992048,326
1.5,0.056108298,324
1.5,0.057951306,326
1.5,0.05621705,322
1.5,0.050112826,332
1.5,0.055923195,322
1.5,0.062165363,333
1.5,0.053441149,315
1.1,0.029048315,238
1.1,0.027218459,227
1.1,0.026315401,227
1.1,0.024389947,215
1.1,0.023040332,227
1.1,0.021521654,211
1.1,0.023533726,215
1.1,0.022034296,225
1.1,0.019627318,212
1.1,0.018783608,207
1.1,0.021523579,199
1.1,0.016667276,192
1.1,0.02205964,203
1.1,0.01943612,198
1.1,0.017430144,206
1.1,0.020876201,195
1.1,0.022693545,200
1.1,0.018101583,199
1.1,0.019823969,202
1.1,0.017384911,196
1.2,0.032294512,255
1.2,0.034762764,265
1.2,0.123250906,265
1.2,0.026937757,237
1.2,0.030266721,245
1.2,0.028491402,244
1.2,0.024373265,238
1.2,0.028633197,230
1.2,0.025095391,241
1.2,0.028537598,230
1.2,0.024472393,239
1.2,0.020211178,212
1.2,0.027653467,234
1.2,0.023574147,222
1.2,0.024750528,215
1.2,0.027836966,231
1.2,0.025192594,231
1.2,0.024038989,220
1.2,0.02492729,231
1.2,0.022510367,225
1.3,0.039530204,291
1.3,0.040233403,284
1.3,0.039551698,278
1.3,0.033639956,261
1.3,0.035081962,278
1.3,0.031733429,257
1.3,0.033834041,253
1.3,0.034274182,267
1.3,0.032482502,266
1.3,0.033006693,265
1.3,0.031311895,258
1.3,0.031440216,256
1.3,0.02982626,242
1.3,0.031698782,249
1.3,0.032746522,258
1.3,0.030164706,241
1.3,0.034603325,270
1.3,0.033499445,267
1.3,0.02923823,251
1.3,0.031745298,248
1.4,0.046855722,326
1.4,0.047206038,306
1.4,0.044032021,314
1.4,0.042838316,291
1.4,0.041402085,285
1.4,0.040338947,287
1.4,0.044053836,288
1.4,0.03989239,284
1.4,0.042010005,295
1.4,0.04054009,290
1.4,0.037862675,286
1.4,0.036187125,281
1.4,0.041521744,290
1.4,0.044817024,289
1.4,0.041701714,290
1.4,0.039811548,279
1.4,0.038367297,279
1.4,0.038705743,289
1.4,0.036911176,282
1.4,0.040627027,291
1.5,0.109967772,357
1.5,0.055207485,348
1.5,0.055199465,348
1.5,0.050028455,333
1.5,0.047604795,319
1.5,0.042934236,325
1.5,0.04500726,317
1.5,0.049025628,340
1.5,0.046488083,329
1.5,0.036760078,308
1.5,0.049670119,313
1.5,0.037328218,311
1.5,0.041058185,314
1.5,0.042420632,312
1.5,0.042044331,310
1.5,0.037512038,295
1.5,0.04057634,304
1.5,0.039643448,307
1.5,0.041151218,310
1.5,0.045453175,316
1.1,0.024965145,234
1.1,0.030077448,239
1.1,0.027287752,218
1.1,0.02838265,220
1.1,0.021314416,203
1.1,0.026711271,228
1.1,0.020433173,208
1.1,0.023864473,208
1.1,0.025315461,215
1.1,0.020471669,199
1.1,0.022886668,206
1.1,0.021575228,201
1.1,0.021897955,200
1.1,0.020023188,198
1.1,0.024466618,199
1.1,0.022444281,202
1.1,0.020804982,192
1.1,0.022246667,204
1.1,0.02007612,196
1.1,0.020768732,203
1.2,0.039137543,281
1.2,0.033276808,255
1.2,0.032055514,256
1.2,0.03153389,244
1.2,0.028194339,233
1.2,0.024434217,225
1.2,0.027393938,226
1.2,0.030763644,242
1.2,0.027804565,233
1.2,0.027924224,236
1.2,0.026637166,218
1.2,0.026464253,232
1.2,0.025371601,217
1.2,0.024193295,219
1.2,0.026447572,224
1.2,0.02614281,221
1.2,0.025068443,230
1.2,0.024049255,217
1.2,0.026870068,217
1.2,0.028854871,233
1.3,0.039534696,281
1.3,0.047532614,307
1.3,0.036811406,276
1.3,0.03613291,275
1.3,0.034730363,273
1.3,0.035615135,257
1.3,0.036200278,275
1.3,0.033088818,253
1.3,0.037032118,264
1.3,0.033561039,257
1.3,0.034017861,254
1.3,0.029381628,248
1.3,0.034914503,257
1.3,0.03204974,246
1.3,0.032603123,250
1.3,0.032808116,255
1.3,0.033345139,243
1.3,0.032662793,249
1.3,0.033275525,254
1.3,0.031984617,246
1.4,0.049374019,317
1.4,0.046906409,304
1.4,0.045212894,302
1.4,0.043508151,289
1.4,0.043174517,300
1.4,0.041179128,280
1.4,0.042964071,301
1.4,0.040371348,285
1.4,0.040451548,285
1.4,0.04323579,288
1.4,0.039775297,291
1.4,0.039546245,284
1.4,0.03950422,273
1.4,0.04217586,272
1.4,0.036900268,279
1.4,0.037205993,271
1.4,0.040394766,284
1.4,0.040445453,282
1.4,0.039953984,283
1.4,0.041866286,293
1.5,0.059007066,349
1.5,0.063108842,351
1.5,0.05773284,339
1.5,0.057636599,332
1.5,0.052076777,340
1.5,0.057737652,328
1.5,0.053804617,332
1.5,0.050343804,320
1.5,0.049832766,315
1.5,0.055415365,333
1.5,0.053758101,338
1.5,0.051497087,320
1.5,0.05023024,299
1.5,0.047562128,317
1.5,0.052317379,318
1.5,0.048720866,312
1.5,0.046334097,309
1.5,0.048767703,314
1.5,0.054534121,319
1.5,0.051769128,321
1.1,0.037217863,285
1.1,0.048382419,313
1.1,0.042369304,291
1.1,0.039753162,279
1.1,0.040962265,287
1.1,0.039942756,275
1.1,0.042413895,287
1.1,0.044418588,296
1.1,0.040032581,277
1.1,0.040633443,281
1.1,0.038360239,278
1.1,0.03618488,268
1.1,0.04272764,282
1.1,0.036046293,265
1.1,0.03631288,269
1.1,0.03977626,278
1.1,0.033159715,262
1.1,0.035177561,262
1.1,0.035709451,267
1.1,0.034540448,244
1.2,0.056300137,339
1.2,0.057677341,330
1.2,0.058590344,332
1.2,0.056470804,335
1.2,0.051256165,322
1.2,0.052985609,305
1.2,0.049805498,309
1.2,0.054066071,316
1.2,0.050088124,306
1.2,0.045864764,300
1.2,0.049588956,308
1.2,0.052540015,322
1.2,0.045266789,295
1.2,0.052032827,308
1.2,0.046146107,292
1.2,0.047053657,304
1.2,0.044336142,299
1.2,0.04747487,299
1.2,0.043126717,297
1.2,0.044807721,303
1.3,0.074651946,386
1.3,0.07516555,383
1.3,0.079463336,379
1.3,0.072108947,374
1.3,0.074051404,359
1.3,0.070471894,367
1.3,0.060467037,350
1.3,0.065975851,353
1.3,0.067766248,355
1.3,0.062629885,345
1.3,0.058813943,351
1.3,0.0636279,347
1.3,0.066833676,351
1.3,0.068344334,362
1.3,0.062955178,350
1.3,0.068129717,357
1.3,0.062213484,342
1.3,0.062888451,350
1.3,0.0572449,340
1.3,0.058908901,346
1.4,0.104551349,448
1.4,0.097526744,420
1.4,0.090433487,421
1.4,0.087689345,410
1.4,0.092786892,414
1.4,0.122246154,405
1.4,0.086157836,415
1.4,0.087656944,405
1.4,0.127078076,390
1.4,0.09472999,400
1.4,0.086624603,409
1.4,0.07597333,386
1.4,0.07680517,383
1.4,0.077434584,394
1.4,0.076046152,411
1.4,0.055399325,397
1.4,0.072669709,384
1.4,0.075014131,375
1.4,0.071624857,376
1.4,0.079425161,387
1.5,0.119832118,468
1.5,0.123188671,485
1.5,0.109054769,469
1.5,0.113958551,462
1.5,0.106979179,457
1.5,0.112963423,451
1.5,0.101449192,448
1.5,0.104287649,439
1.5,0.107301265,442
1.5,0.102846927,441
1.5,0.098035536,441
1.5,0.107077345,455
1.5,0.09838906,444
1.5,0.095207023,441
1.5,0.101176831,450
1.5,0.100614464,440
1.5,0.099035155,434
1.5,0.099711727,435
1.5,0.107220102,455
1.5,0.11464988,438
1.1,0.04849855,297
1.1,0.050817308,301
1.1,0.045009505,290
1.1,0.049059633,294
1.1,0.045922188,280
