day,reqWaitTime,reqDis,CarWaitTime,carDis,Rides,NumCar,NumReq,C:R ratio,carFlex,ReqFlex,NumFeasible,totalCPUtime,tranferTimes
1,984969,12793641,2965195,19129979,34096,22731,11365,2,1.3,2.6,9801,331.84040702093876,1239
1,931395,12734836,2944646,18968469,34096,22731,11365,2,1.3,2.7,9748,336.0488523944225,1215
1,984693,12786328,2975396,19103204,34096,22731,11365,2,1.3,2.8,9831,326.48258204675676,1236
1,988952,12714943,2958709,19076352,34096,22731,11365,2,1.3,2.9,9769,337.66841471764064,1227
1,1016576,12735858,2962795,19177428,34096,22731,11365,2,1.3,3.0,9801,333.42872449702304,1224
1,15231,12315802,3985780,17119439,34096,22731,11365,2,1.4,1.1,9312,544.6917386386399,438
1,72554,12621816,4022724,17608621,34096,22731,11365,2,1.4,1.2,9468,501.5803773018206,571
1,136855,12794492,4018844,17832691,34096,22731,11365,2,1.4,1.3,9539,496.525329896876,664
1,219436,12990031,4094652,18166500,34096,22731,11365,2,1.4,1.4,9682,486.31132534278095,768
1,288821,13046812,4064471,18340505,34096,22731,11365,2,1.4,1.5,9701,482.1913305782625,828
1,371930,13194842,4142760,18760583,34096,22731,11365,2,1.4,1.6,9799,464.9181819756427,921
1,430677,13186569,4121064,18745089,34096,22731,11365,2,1.4,1.7,9856,471.46778055592995,957
1,482825,13245952,4133761,18799762,34096,22731,11365,2,1.4,1.8,9884,457.8425583202338,999
1,564163,13277102,4128110,18995981,34096,22731,11365,2,1.4,1.9,9916,449.67932455745904,1093
1,534771,13308993,4133000,18980059,34096,22731,11365,2,1.4,2.0,9927,456.48170914408456,1062
1,657313,13276612,4144159,19117297,34096,22731,11365,2,1.4,2.1,9967,455.3093164796451,1122
1,703341,13353695,4208891,19323158,34096,22731,11365,2,1.4,2.2,10058,434.0782943333993,1234
1,757014,13307960,4181260,19294841,34096,22731,11365,2,1.4,2.3,10075,448.6924376665322,1192
1,793869,13277814,4124160,19340035,34096,22731,11365,2,1.4,2.4,10030,435.12775817673537,1256
1,800842,13386300,4139440,19359068,34096,22731,11365,2,1.4,2.5,10107,440.5107247370008,1239
1,802315,13400308,4225863,19550121,34096,22731,11365,2,1.4,2.6,10113,429.13484020523674,1265
1,847763,13353258,4140703,19408295,34096,22731,11365,2,1.4,2.7,10117,439.8843726361233,1247
