tranferTimes
0
6
23
249
247
1059
469
4378
3131
0
5
3
88
1
0
2
707
3
0
0
0
553
312
13
368
5
0
0
1364
34
89
7
859
201
5
28
0
36
100
0
3
0
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
0
2
0
3
0
1
0
0
0
0
1
1
0
0
0
0
0
0
4
11
