day,carFlex,ReqFlex,averageCPU,worstCaseCPU,MaxNumCar/s,averageNumCar/s
16,1.5,1.3,0.04126233006372962,0.15148662928550038,521,276.4908912037037
16,1.5,1.4,0.0419715582750398,0.15962120964104543,519,273.6892824074074
16,1.5,1.5,0.03952525408686891,0.14794497344701085,514,271.7808796296296
16,1.5,1.6,0.039764095405139525,0.15368572808802128,523,269.7786574074074
16,1.5,1.7,0.03868731414044106,0.15292189814863377,506,267.9116550925926
16,1.5,1.8,0.039024547221070516,0.14742142432078253,508,266.9890162037037
16,1.5,1.9,0.03878928797570808,0.14468016986938892,510,267.04875
16,1.5,2.0,0.03839810360043992,0.15456633001667797,495,264.9584722222222
16,1.5,2.1,0.037908436767825356,0.15370658022948192,511,265.53099537037036
16,1.5,2.2,0.03724247394080014,0.15099259396083653,499,263.09488425925923
16,1.5,2.3,0.03805546684955452,0.14649462688612402,499,263.68888888888887
16,1.5,2.4,0.038253128331657865,0.15232905575976474,501,263.8525810185185
16,1.5,2.5,0.037104609045743045,0.1375301313419186,488,262.58961805555555
16,1.5,2.6,0.037348201390868405,0.13335617444681702,503,262.2258912037037
16,1.5,2.7,0.036299073080538674,0.1445666059080395,497,262.3418402777778
16,1.5,2.8,0.03673126795791743,0.139377310177224,498,260.3872800925926
16,1.5,2.9,0.03679515894851815,0.1404343532922212,492,261.36679398148146
16,1.5,3.0,0.03722102441062944,0.14162773732459755,489,261.99378472222224
17,1.1,1.1,0.019647715931453712,0.06170661615760764,344,199.2585185185185
17,1.1,1.2,0.017735816110067127,0.059953432359179715,351,193.78086805555554
17,1.1,1.3,0.016012680244496504,0.04986612925858935,342,189.40116898148148
17,1.1,1.4,0.015526841473924463,0.0508625407674117,331,185.77184027777778
17,1.1,1.5,0.015269590150655547,0.04736034359302721,335,183.6698726851852
17,1.1,1.6,0.014442265937416989,0.0473221681349969,335,180.24883101851853
17,1.1,1.7,0.014497984304018092,0.04568800193374045,317,179.25435185185185
17,1.1,1.8,0.013974552799398195,0.04591480906310608,308,177.59515046296298
17,1.1,1.9,0.013665800953252656,0.0436233192376676,304,175.13234953703704
17,1.1,2.0,0.013591627146580375,0.04578937541737105,316,174.48282407407407
17,1.1,2.1,0.013271514747678854,0.04033670111311949,301,174.55324074074073
17,1.1,2.2,0.012793621217061152,0.02868163786115474,308,173.1442361111111
17,1.1,2.3,0.012517852538650658,0.03388504888789612,308,171.59601851851852
17,1.1,2.4,0.012465166910980732,0.03694261426790035,310,170.76038194444445
17,1.1,2.5,0.012190463090326047,0.036266363313188776,301,168.7691087962963
17,1.1,2.6,0.01206776553248135,0.036429972416954115,309,168.18262731481482
17,1.1,2.7,0.012093739399967591,0.0318694489178597,314,168.48611111111111
17,1.1,2.8,0.011776321500320298,0.03395305894810008,289,167.27574074074073
17,1.1,2.9,0.011834689028706656,0.03971947776153684,293,166.79619212962962
17,1.1,3.0,0.011598083390600155,0.03302497830009088,291,165.53126157407408
17,1.2,1.1,0.02085459018485296,0.05855345173404203,398,219.5786574074074
17,1.2,1.2,0.02021937835669079,0.04957708651636494,390,215.68390046296295
17,1.2,1.3,0.019476724534681737,0.051249107371404534,401,211.66318287037038
17,1.2,1.4,0.01888965591420214,0.056531435726355994,377,208.55832175925926
17,1.2,1.5,0.01835502549998496,0.05755254899850115,392,205.72337962962962
17,1.2,1.6,0.017952860627467152,0.0579455316401436,370,203.93784722222222
17,1.2,1.7,0.017860705107316018,0.0388042291997408,374,202.2325462962963
17,1.2,1.8,0.017219475957491372,0.04514263826422393,359,199.9941550925926
17,1.2,1.9,0.017059743331051327,0.04752619830833282,354,198.28136574074074
17,1.2,2.0,0.01698982503790073,0.05018404420115985,355,197.6788425925926
17,1.2,2.1,0.016837559768482294,0.05063124240768957,367,197.01111111111112
17,1.2,2.2,0.016519413674220555,0.04441120934279752,358,195.53475694444444
17,1.2,2.3,0.01615212553819191,0.04271865714690648,353,193.58875
17,1.2,2.4,0.016265985056249987,0.05687597724318039,353,194.67217592592593
17,1.2,2.5,0.016058102653286378,0.04746011306633591,350,193.89409722222223
17,1.2,2.6,0.016026788421171178,0.048940935826976784,354,193.10747685185186
17,1.2,2.7,0.01588513475213845,0.04177389479445992,354,192.7063310185185
17,1.2,2.8,0.0157173382630251,0.037394945313280914,360,191.57783564814815
17,1.2,2.9,0.015616813580696816,0.041990436242485885,353,190.7662962962963
17,1.2,3.0,0.01590570786863572,0.04035562844364904,357,192.40427083333333
17,1.3,1.1,0.025982678678426956,0.06380819110199809,440,246.25483796296297
17,1.3,1.2,0.02489182110471848,0.059954715565254446,444,242.1503935185185
17,1.3,1.3,0.024215870197113964,0.06111152814992238,444,237.85121527777778
17,1.3,1.4,0.026154521598267682,0.08961672482837457,446,236.49078703703702
17,1.3,1.5,0.031147810171075874,0.09860656374075916,423,232.53045138888888
17,1.3,1.6,0.03114695188796343,0.09728967087625051,423,229.77289351851852
17,1.3,1.7,0.03360353887711489,0.09700319454793771,434,229.23055555555555
17,1.3,1.8,0.035789248286153194,0.08671763571373958,413,228.7560648148148
17,1.3,1.9,0.033492318870511864,0.09455162444578491,428,226.87900462962963
17,1.3,2.0,0.029403244052429806,0.09626470797701359,413,225.16855324074075
17,1.3,2.1,0.03073941841637475,0.10453595005230909,409,225.0601851851852
17,1.3,2.2,0.032662624232686094,0.08802201729372428,410,223.72033564814814
17,1.3,2.3,0.030895625682641165,0.0863416555830554,413,222.63289351851853
17,1.3,2.4,0.028473807508611955,0.08442037145005088,399,221.24467592592592
17,1.3,2.5,0.029164244437182754,0.08565610136832902,408,220.8682523148148
17,1.3,2.6,0.03016565904858215,0.0903892164278659,418,221.1765625
17,1.3,2.7,0.0325149588076248,0.08756519501866933,400,220.5678472222222
17,1.3,2.8,0.03291461824634482,0.08529070770896396,397,221.23835648148147
17,1.3,2.9,0.029894961361323042,0.0848893842075995,410,219.09369212962963
17,1.3,3.0,0.031512866331471184,0.08781766631818755,405,218.55862268518518
17,1.4,1.1,0.038111864471627635,0.12509872686450763,494,275.20273148148146
